fecha_venta,sucursal,codigo_articulo,producto,precio_venta,cantidad
2022-04-24,ACARIGUA,000386,HUEVOS A GRANEL,21.27,132
2022-04-24,GUARENAS,000386,HUEVOS A GRANEL,21.27,352
2022-04-25,IPSFA,000386,HUEVOS A GRANEL,21.27,645
2022-04-26,BARQUISIMETO,000386,HUEVOS A GRANEL,21.27,121
2022-04-28,CAGUA,001973,MARGARINA 500GR MAVESA.,10.55,61
2022-04-29,BARQUISIMETO,000386,HUEVOS A GRANEL,21.51,122
2022-04-29,CAGUA,000386,HUEVOS A GRANEL,21.51,374
2022-04-29,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.73,38
2022-04-30,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.56,155
2022-05-02,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.56,476
2022-05-03,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.6,64
2022-05-03,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.78,10
2022-05-05,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.79,94
2022-05-05,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.87,79
2022-05-05,IPSFA,001973,MARGARINA 500GR MAVESA.,10.87,128
2022-05-06,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.9,167
2022-05-07,BARQUISIMETO,000386,HUEVOS A GRANEL,21.94,197
2022-03-15,SAN BERNARDINO,000386,HUEVOS A GRANEL,19.46,448
2022-03-15,IPSFA,001973,MARGARINA 500GR MAVESA.,8.86,242
2022-03-16,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,8.92,113
2022-03-17,IPSFA,001973,MARGARINA 500GR MAVESA.,8.97,242
2022-03-19,BARQUISIMETO,000386,HUEVOS A GRANEL,19.78,182
2022-03-20,GUARENAS,000386,HUEVOS A GRANEL,19.78,416
2022-03-20,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.01,187
2022-03-24,CAGUA,001973,MARGARINA 500GR MAVESA.,9.05,97
2022-03-24,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.05,103
2022-03-25,GUARENAS,000386,HUEVOS A GRANEL,19.92,407
2022-03-26,GUARENAS,000386,HUEVOS A GRANEL,20.01,361
2022-03-26,CAGUA,001973,MARGARINA 500GR MAVESA.,9.11,217
2022-03-26,IPSFA,001973,MARGARINA 500GR MAVESA.,9.11,339
2022-03-27,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.11,80
2022-03-27,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.11,251
2022-03-28,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.11,138
2022-03-28,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.11,103
2022-03-29,CAGUA,000386,HUEVOS A GRANEL,20.06,228
2022-04-01,ACARIGUA,000386,HUEVOS A GRANEL,20.1,87
2022-04-03,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.22,428
2022-04-04,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.24,500
2022-04-05,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.24,479
2022-04-08,CAGUA,000386,HUEVOS A GRANEL,21.17,334
2022-04-08,IPSFA,000386,HUEVOS A GRANEL,21.17,701
2022-04-09,ACARIGUA,000386,HUEVOS A GRANEL,21.17,118
2022-04-09,CAGUA,000386,HUEVOS A GRANEL,21.17,400
2022-04-09,GUARENAS,000386,HUEVOS A GRANEL,21.17,461
2022-04-09,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.43,29
2022-04-10,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.43,280
2022-04-10,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.43,153
2022-04-10,IPSFA,001973,MARGARINA 500GR MAVESA.,10.43,348
2022-04-11,BARQUISIMETO,000386,HUEVOS A GRANEL,21.17,161
2022-04-11,GUARENAS,000386,HUEVOS A GRANEL,21.17,356
2022-04-12,BARQUISIMETO,000386,HUEVOS A GRANEL,21.17,166
2022-04-13,CAGUA,000386,HUEVOS A GRANEL,21.22,364
2022-04-13,ACARIGUA,001973,MARGARINA 500GR MAVESA.,9.2587,1
2022-04-14,CAGUA,000386,HUEVOS A GRANEL,21.22,2
2022-04-14,GUARENAS,000386,HUEVOS A GRANEL,21.27,363
2022-04-15,IPSFA,000386,HUEVOS A GRANEL,21.27,622
2022-04-16,BARQUISIMETO,000386,HUEVOS A GRANEL,21.27,157
2022-04-17,IPSFA,000386,HUEVOS A GRANEL,21.27,597
2022-04-18,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.2676,1
2022-04-21,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,50
2022-04-23,MATURIN PLAZA,000386,HUEVOS A GRANEL,21.27,104
2022-04-23,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,41
2022-04-23,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.48,214
2022-04-25,ACARIGUA,001973,MARGARINA 500GR MAVESA.,10.48,44
2022-04-25,IPSFA,001973,MARGARINA 500GR MAVESA.,10.48,249
2022-04-26,SAN BERNARDINO,000386,HUEVOS A GRANEL,21.27,313
2022-04-27,GUARENAS,000386,HUEVOS A GRANEL,21.32,224
